time,temperature,humidity
2024-01-09 04:48:37.815801,21,48
2024-01-09 04:49:37.829848,21,48.1
2024-01-09 04:50:37.850219,21,48
2024-01-09 04:51:37.866969,20.9,48.1
2024-01-09 04:52:37.884553,21,48
2024-01-09 04:53:37.896440,20.9,48
2024-01-09 04:54:37.909943,21,48
2024-01-09 04:55:37.923099,20.9,48
2024-01-09 04:56:37.940445,20.9,48
2024-01-09 04:57:37.957407,20.9,48
2024-01-09 04:58:37.975410,20.9,48
2024-01-09 04:59:37.991932,20.9,48
2024-01-09 05:00:38.006036,20.9,48
2024-01-09 05:01:38.019823,20.9,48
2024-01-09 05:02:38.036667,20.9,48
2024-01-09 05:03:38.053424,20.9,48
2024-01-09 05:04:38.067298,20.9,48
2024-01-09 05:05:38.080616,20.9,48
2024-01-09 05:06:38.097449,20.9,48
2024-01-09 05:07:38.115133,20.9,48
2024-01-09 05:08:38.127967,20.9,48
2024-01-09 05:09:38.146149,20.9,48
2024-01-09 05:10:38.166481,20.9,48
2024-01-09 05:11:38.179347,20.9,48
2024-01-09 05:12:38.195500,20.9,48.1
2024-01-09 05:13:38.209906,20.9,48
2024-01-09 05:14:38.225689,20.9,48
2024-01-09 05:15:38.244592,20.9,48
2024-01-09 05:16:38.257409,20.9,48
2024-01-09 05:17:38.268144,20.9,48
2024-01-09 05:18:38.287732,20.9,48
2024-01-09 05:19:38.305739,20.9,48
2024-01-09 05:20:38.320095,20.9,48
2024-01-09 05:21:38.337824,20.9,48
2024-01-09 05:22:38.351671,20.9,48
2024-01-09 05:23:38.367208,20.9,47.9
2024-01-09 05:24:38.385609,20.9,47.9
2024-01-09 05:25:38.404966,20.9,47.9
2024-01-09 05:26:38.420455,20.9,48
2024-01-09 05:27:38.442472,20.9,47.9
2024-01-09 05:28:38.458424,20.9,48
2024-01-09 05:29:38.476969,20.9,47.9
2024-01-09 05:30:38.496958,20.9,47.9
2024-01-09 05:31:38.513964,20.9,47.9
2024-01-09 05:32:38.536703,20.9,47.9
2024-01-09 05:33:38.556925,20.9,47.9
2024-01-09 05:34:38.574638,20.9,47.9
2024-01-09 05:35:38.590383,20.9,47.9
2024-01-09 05:36:38.608451,20.9,47.9
2024-01-09 05:37:38.637480,20.9,47.9
2024-01-09 05:38:38.655150,20.9,48
2024-01-09 05:39:38.665560,20.9,48
2024-01-09 05:40:38.676328,20.9,48
2024-01-09 05:41:38.688560,20.9,48
2024-01-09 05:42:38.712482,20.9,47.9
2024-01-09 05:43:38.727750,20.9,48
2024-01-09 05:44:38.740863,20.9,48
2024-01-09 05:45:38.762929,20.9,47.9
2024-01-09 05:46:38.776837,20.9,47.9
2024-01-09 05:47:38.789912,20.9,48
2024-01-09 05:48:38.806515,20.9,48
2024-01-09 05:49:38.819496,20.9,48
2024-01-09 05:50:38.837668,20.9,47.9
2024-01-09 05:51:38.856567,20.9,47.9
2024-01-09 05:52:38.874911,20.9,47.9
2024-01-09 05:53:38.890076,20.9,47.9
2024-01-09 05:54:38.906580,20.9,47.9
2024-01-09 05:55:38.925687,20.9,47.8
2024-01-09 05:56:38.939733,20.9,47.9
2024-01-09 05:57:38.956101,20.9,47.9
2024-01-09 05:58:38.977952,20.9,47.9
2024-01-09 05:59:38.995513,20.9,47.9
2024-01-09 06:00:39.011959,20.9,47.9
2024-01-09 06:01:39.029107,20.9,47.9
2024-01-09 06:02:39.045525,20.9,47.9
2024-01-09 06:03:39.065547,20.9,47.9
2024-01-09 06:04:39.085278,20.9,47.9
2024-01-09 06:05:39.101195,20.9,47.9
2024-01-09 06:06:39.117253,20.9,47.9
2024-01-09 06:07:39.132073,20.9,47.9
2024-01-09 06:08:39.149095,20.8,47.9
2024-01-09 06:09:39.166464,20.9,47.9
2024-01-09 06:10:39.182067,20.9,47.9
2024-01-09 06:11:39.197983,20.8,47.9
2024-01-09 06:12:39.217948,20.9,47.9
2024-01-09 06:13:39.233378,20.9,47.9
2024-01-09 06:14:39.248196,20.8,47.9
2024-01-09 06:15:39.265743,20.8,47.9
2024-01-09 06:16:39.279247,20.8,47.9
2024-01-09 06:17:39.294727,20.9,47.9
2024-01-09 06:18:39.309473,20.8,47.9
2024-01-09 06:19:39.325696,20.8,47.9
2024-01-09 06:20:39.345285,20.8,47.9
2024-01-09 06:21:39.358629,20.8,47.9
2024-01-09 06:22:39.376963,20.8,47.8
2024-01-09 06:23:39.396908,20.9,47.9
2024-01-09 06:24:39.411173,20.8,47.9
2024-01-09 06:25:39.428059,20.9,47.9
2024-01-09 06:26:39.446307,20.8,47.9
2024-01-09 06:27:39.465519,20.9,47.9
2024-01-09 06:28:39.478897,20.9,47.9
2024-01-09 06:29:39.497439,20.8,47.9
2024-01-09 06:30:39.515779,20.9,47.8
2024-01-09 06:31:39.529539,20.9,47.8
2024-01-09 06:32:39.543025,20.9,47.8
2024-01-09 06:33:39.559038,20.9,47.9
2024-01-09 06:34:39.577006,20.9,47.9
2024-01-09 06:35:39.592302,20.8,47.9
2024-01-09 06:36:39.613395,20.8,47.9
2024-01-09 06:37:39.632262,20.8,47.9
2024-01-09 06:38:39.647147,20.8,47.9
2024-01-09 06:39:39.659210,20.8,47.8
2024-01-09 06:40:39.677285,20.8,47.9
2024-01-09 06:41:39.696334,20.8,47.9
2024-01-09 06:42:39.715701,20.8,47.9
2024-01-09 06:43:39.734942,20.8,47.8
2024-01-09 06:44:39.752905,20.8,47.9
2024-01-09 06:45:39.768254,20.8,47.9
2024-01-09 06:46:39.783743,20.8,47.9
2024-01-09 06:47:39.802512,20.8,47.9
2024-01-09 06:48:39.818622,20.8,47.9
2024-01-09 06:49:39.834980,20.8,47.8
2024-01-09 06:50:39.855721,20.8,47.9
2024-01-09 06:51:39.873235,20.8,47.8
2024-01-09 06:52:39.888415,20.8,47.8
2024-01-09 06:53:39.904488,20.8,47.8
2024-01-09 06:54:39.918617,20.8,47.9
2024-01-09 06:55:39.936366,20.8,47.9
2024-01-09 06:56:39.951308,20.8,47.8
2024-01-09 06:57:39.969134,20.8,47.8
2024-01-09 06:58:39.989201,20.8,47.8
2024-01-09 06:59:40.009637,20.8,47.9
2024-01-09 07:00:40.032649,20.8,47.8
2024-01-09 07:01:40.055394,20.8,47.8
2024-01-09 07:02:40.070833,20.8,47.8
2024-01-09 07:03:40.085258,20.8,47.9
2024-01-09 07:04:40.099850,20.8,47.8
2024-01-09 07:05:40.117374,20.8,47.8
2024-01-09 07:06:40.130822,20.8,47.9
2024-01-09 07:07:40.147024,20.8,47.9
2024-01-09 07:08:40.165593,20.8,47.9
2024-01-09 07:09:40.179384,20.8,47.8
2024-01-09 07:10:40.196587,20.8,47.8
2024-01-09 07:11:40.215504,20.8,47.8
2024-01-09 07:12:40.235079,20.8,47.8
2024-01-09 07:13:40.252998,20.8,47.8
2024-01-09 07:14:40.268533,20.8,47.8
2024-01-09 07:15:40.287159,20.8,47.8
2024-01-09 07:16:40.306128,20.8,47.8
2024-01-09 07:17:40.325130,20.8,47.8
2024-01-09 07:18:40.339603,20.8,47.8
2024-01-09 07:19:40.355528,20.8,47.8
2024-01-09 07:20:40.373424,20.8,47.8
2024-01-09 07:21:40.388785,20.8,47.7
2024-01-09 07:22:40.404329,20.8,47.7
2024-01-09 07:23:40.418217,20.8,47.8
2024-01-09 07:24:40.436161,20.8,47.8
2024-01-09 07:25:40.451385,20.8,47.8
2024-01-09 07:26:40.466863,20.8,47.8
2024-01-09 07:27:40.489599,20.8,47.8
2024-01-09 07:28:40.504817,20.8,47.8
2024-01-09 07:29:40.520967,20.8,47.8
2024-01-09 07:30:40.536844,20.8,47.8
2024-01-09 07:31:40.558019,20.8,47.8
2024-01-09 07:32:40.576347,20.8,47.8
2024-01-09 07:33:40.596365,20.8,47.8
2024-01-09 07:34:40.616297,20.8,47.7
2024-01-09 07:35:40.633149,20.8,47.8
2024-01-09 07:36:40.655878,20.8,47.8
2024-01-09 07:37:40.678748,20.8,47.9
2024-01-09 07:38:40.697851,20.8,47.8
2024-01-09 07:39:40.717791,20.8,47.8
2024-01-09 07:40:40.738534,20.8,47.8
2024-01-09 07:41:40.755323,20.8,47.8
2024-01-09 07:42:40.771592,20.8,47.7
2024-01-09 07:43:40.788442,20.8,47.8
2024-01-09 07:44:40.806602,20.8,47.8
2024-01-09 07:45:40.822739,20.9,47.7
2024-01-09 07:46:40.846744,20.8,47.7
2024-01-09 07:47:40.867930,20.9,47.7
2024-01-09 07:48:40.888342,20.9,47.8
2024-01-09 07:49:40.907829,20.9,48
2024-01-09 07:50:40.925360,20.9,48.2
2024-01-09 07:51:40.937927,20.9,48.2
2024-01-09 07:52:40.951559,20.9,48.3
2024-01-09 07:53:40.968374,20.9,48.2
2024-01-09 07:54:40.985700,20.9,48.3
2024-01-09 07:55:41.004177,20.9,48.3
2024-01-09 07:56:41.018202,20.9,48.3
2024-01-09 07:57:41.031485,20.9,48.3
2024-01-09 07:58:41.047932,20.9,48.3
2024-01-09 07:59:41.061573,20.9,48.3
2024-01-09 08:00:41.077907,20.9,48.3
2024-01-09 08:01:41.093539,20.9,48.4
2024-01-09 08:02:41.116053,20.9,48.3
2024-01-09 08:03:41.135235,20.9,48.3
2024-01-09 08:04:41.155316,20.9,48.4
2024-01-09 08:05:41.167341,20.9,48.4
2024-01-09 08:06:41.182689,20.9,48.5
